SAMPLE_NO,LONGITUDE,LATITUDE,Ca_ppm,Cu_ppm,K_ppm,Mn_ppm,Ti_ppm
4108086,137.8726574,-34.5424045,80423,22,16673,292,2144
4107704,137.8754638,-34.5448173,77452,22,13825,112,1687
4108125,137.8737381,-34.5421537,37501,22,16044,125,1644
4106881,137.866646,-34.5497571,32916,22,15740,188,1353
4108279,137.8764283,-34.5411889,9871,22,9819,51,1314
4106945,137.8734418,-34.549372,70398,22,30719,117,810
4108254,137.8696255,-34.5413491,54296,21,14514,470,4283
4107880,137.8754251,-34.5436914,16317,21,15318,446,3209
4107872,137.8732481,-34.5437427,94955,21,11158,216,3194
4108115,137.871017,-34.5422177,117076,21,15656,322,3151
4107945,137.8729605,-34.5432988,38061,21,11643,309,3065
4107952,137.8748653,-34.5432539,67127,21,9463,314,2901
4108359,137.8682417,-34.5407055,7471,21,18505,343,2118
4108236,137.8745312,-34.541459,9319,21,11121,126,1934
4108093,137.8745622,-34.5423597,28872,21,14526,302,1787
4108227,137.8720822,-34.5415167,40866,21,15409,212,1775
4108437,137.8687705,-34.5402424,69084,21,20557,551,1727
4107669,137.8754716,-34.5450424,135192,21,11071,769,1547
4108458,137.8744848,-34.5401079,30908,21,15393,141,1499
4107865,137.8713433,-34.5437875,41391,21,12617,564,1295
4108092,137.8742901,-34.5423661,47875,21,27159,236,1286
4108436,137.8684984,-34.5402488,61050,21,14492,250,1215
4108363,137.8693302,-34.5406799,44159,21,18508,264,1173
4106986,137.8739783,-34.5491339,23467,21,9412,147,309
4108255,137.8698976,-34.5413427,25120,20,19077,502,4061
4107988,137.8748576,-34.5430287,58804,20,10982,255,3709
4108183,137.8699131,-34.541793,26941,20,18480,482,3169
4108147,137.8699208,-34.5420182,29627,20,15901,489,2534
4108404,137.8701388,-34.5404356,18789,20,16633,240,2447
4107986,137.8743134,-34.5430415,6821,20,11154,198,2418
4108203,137.8753553,-34.5416649,12868,20,7626,87,2064
4107489,137.8733333,-34.5462195,15214,20,11923,116,2051
4107943,137.8724163,-34.5433116,13220,20,12735,398,1813
4107633,137.8752072,-34.545274,15924,20,15556,99,1512
4108014,137.8721287,-34.5428677,8761,19,19623,601,4032
4108020,137.8737614,-34.5428292,8626,19,17724,380,3283
4107955,137.8756817,-34.5432347,38907,19,9296,176,2906
4108051,137.8729373,-34.5426232,14760,19,16199,408,2770
4107734,137.8740955,-34.5446241,29084,19,15229,254,2540
4108472,137.8679465,-34.5400365,14119,19,19636,1474,2410
4107741,137.8760003,-34.5445792,5221,19,13843,150,2387
4107975,137.8713201,-34.543112,19590,19,14967,415,2116
4107698,137.8738311,-34.5448557,17863,19,13178,145,2077
4107740,137.8757282,-34.5445856,30429,19,15346,134,1929
4108040,137.8693998,-34.5427065,69475,19,16890,214,1890
4107630,137.8743908,-34.5452933,42275,19,23633,143,1806
4108035,137.8680392,-34.5427385,14573,19,15441,324,1716
4108433,137.8676821,-34.540268,135385,19,11691,1040,1714
4106862,137.8720966,-34.5498543,51667,19,13001,182,1209
4108325,137.8693379,-34.5409051,23264,19,34924,285,746
4107852,137.8678057,-34.5438707,7631,19,6751,43,68
4108059,137.8751142,-34.5425719,137390,18,9614,181,5350
4107984,137.8737691,-34.5430543,18563,18,17117,500,4508
4108394,137.8674177,-34.5404996,9435,18,21637,641,3301
4108214,137.8685448,-34.5415999,49930,18,16197,524,2990
4108182,137.869641,-34.5417994,42550,18,15644,357,2960
4108157,137.872642,-34.5419542,85024,18,6420,144,2417
4108022,137.8743056,-34.5428164,11891,18,11982,348,2194
4107946,137.8732326,-34.5432924,15107,18,12830,450,2034
4108042,137.869944,-34.5426937,50787,18,13287,277,1967
4108094,137.8748343,-34.5423532,21286,18,13424,211,1952
4108123,137.8731939,-34.5421665,47434,18,12263,133,1905
4107055,137.8715136,-34.5487413,32657,18,13740,108,1785
4107670,137.8757437,-34.545036,4704,18,13107,90,1737
4107387,137.8662734,-34.5468363,4658,18,10595,112,1709
4108356,137.8674254,-34.5407247,12146,17,18101,479,3943
4107833,137.8724395,-34.5439871,29947,17,15015,254,2912
4108327,137.8698821,-34.5408923,21541,17,22995,479,2885
4108219,137.8699053,-34.5415679,12033,17,17009,453,2851
4108434,137.8679542,-34.5402616,17212,17,23282,489,2836
4108462,137.8755732,-34.5400823,39921,17,6377,100,2483
4108049,137.8723931,-34.542636,32836,17,11802,333,2264
4107593,137.8738543,-34.5455312,6491,17,10239,142,2253
4107644,137.8683964,-34.5452089,25329,17,15441,302,2116
4108146,137.8696487,-34.5420246,42698,17,16482,337,2039
4107936,137.8705115,-34.5433564,23654,17,11239,395,1968
4107525,137.8744141,-34.5459687,4435,17,10839,98,1950
4107832,137.8721674,-34.5439935,8147,17,13354,247,1949
4107584,137.8714052,-34.5455888,41445,17,12250,238,1878
4108204,137.8756274,-34.5416585,2067,17,7173,64,1149
4107150,137.8761244,-34.548182,43479,17,8525,98,598
4107366,137.8711795,-34.5469463,13218,17,8225,69,445
4108399,137.8687782,-34.5404676,7278,16,25182,470,4440
4108383,137.8747724,-34.5405518,9512,16,12134,142,2941
4107913,137.874601,-34.5434854,46903,16,11545,300,2723
4108164,137.8745467,-34.5419093,31601,16,15853,207,2657
4108292,137.870162,-34.5411112,19911,16,16147,355,2600
4108361,137.868786,-34.5406927,10644,16,17154,376,2482
4107775,137.8759926,-34.5443541,18269,16,16243,162,2270
4107668,137.8751995,-34.5450488,4813,16,13892,119,2182
4108429,137.8769415,-34.5402754,243724,16,12140,125,2014
4107870,137.8727039,-34.5437555,21953,16,15730,322,1923
4107829,137.871351,-34.5440128,51192,16,14467,245,1809
4107774,137.8757204,-34.5443605,51383,16,15821,139,1790
4108386,137.8755887,-34.5405326,64534,16,11854,97,1788
4108296,137.8712504,-34.5410856,33471,16,12110,165,1781
4107967,137.8691431,-34.5431632,46864,16,13317,301,1766
4107934,137.8699672,-34.5433692,24727,16,20018,250,1759
4108082,137.871569,-34.5424301,43186,16,17057,395,1666
4108065,137.8767469,-34.5425335,5217,16,11194,70,1598
4108280,137.8767004,-34.5411825,15471,16,9017,111,1490
4108030,137.8764825,-34.5427651,20004,16,23305,166,1236
4107981,137.8729528,-34.5430735,9254,16,11953,338,1013
4106823,137.8721043,-34.5500794,29043,16,8922,191,700
4107810,137.8759848,-34.544129,20333,16,30169,199,618
4108047,137.8718488,-34.5426488,25631,15,16358,550,3997
4108368,137.8706907,-34.5406479,59876,15,12908,231,3721
4107882,137.8759693,-34.5436786,25689,15,17852,416,3042
4108447,137.8714916,-34.5401784,49613,15,12714,99,2806
4106864,137.8726408,-34.5498415,64348,15,13828,348,2217
4108231,137.8731707,-34.5414911,18544,15,12694,137,2104
4108077,137.8702084,-34.5424622,72638,15,14754,296,1966
4107789,137.8699982,-34.54427,50358,15,12289,184,1810
4108293,137.8704341,-34.5411048,69350,15,14778,323,1802
4108212,137.8680006,-34.5416127,35882,15,27104,430,1768
4108443,137.8704032,-34.540204,73589,15,11955,170,1467
4107705,137.875736,-34.5448109,32100,15,11973,89,1404
4107580,137.8700446,-34.5456209,82792,15,12075,111,1358
4107444,137.871164,-34.5464959,40048,15,13245,116,1296
4108034,137.8677671,-34.5427448,21161,15,13843,186,1239
4108290,137.8696178,-34.541124,16903,15,16976,202,925
4108442,137.870131,-34.5402104,18762,15,23262,132,890
4107319,137.8690102,-34.5472227,25309,15,17525,154,833
4107916,137.8754173,-34.5434662,33558,14,18553,436,4027
4108018,137.8732172,-34.542842,37364,14,16883,507,3995
4108048,137.8721209,-34.5426424,26201,14,16626,466,3261
4107906,137.8726961,-34.5435303,56771,14,13218,225,2873
4108376,137.8728676,-34.5405967,33348,14,12451,88,2673
4107383,137.8758057,-34.5468374,11790,14,12534,80,2597
4108213,137.8682727,-34.5416063,15059,14,19069,424,2471
4108178,137.8685525,-34.541825,17771,14,21176,462,2361
4108136,137.8767314,-34.5420831,26582,14,10357,65,2270
4108172,137.8767236,-34.541858,8583,14,10231,92,2268
4108229,137.8726265,-34.5415039,22888,14,12647,168,2257
4108405,137.8704109,-34.5404292,16620,14,12877,296,2181
4107595,137.8743986,-34.5455184,33837,14,13936,229,2150
4108424,137.8755809,-34.5403075,53489,14,10002,74,2096
4106867,137.8734573,-34.5498223,62311,14,14528,170,2013
4107470,137.8676186,-34.546354,7255,14,11583,96,1914
4108248,137.8679928,-34.5413875,5986,14,15092,361,1879
4108225,137.871538,-34.5415295,35129,14,14091,213,1813
4108223,137.8709938,-34.5415423,36285,14,12276,243,1795
4107362,137.870091,-34.546972,36468,14,13197,152,1779
4107915,137.8751452,-34.5434726,17478,14,1583,25,1753
4108031,137.8767547,-34.5427587,14870,14,14871,116,1742
4108097,137.8756507,-34.542334,10746,14,12123,144,1724
4107320,137.8692823,-34.5472163,24586,14,11792,177,1718
4108346,137.8750522,-34.5407706,26474,14,10507,78,1700
4108181,137.8693689,-34.5418058,25902,14,14653,316,1695
4107827,137.8708068,-34.5440256,42225,14,12824,203,1664
4107646,137.8689406,-34.5451961,71410,14,18175,228,1531
4107302,137.8750048,-34.547307,50730,14,11138,88,1462
4108013,137.8718566,-34.5428741,16647,14,19703,374,1451
4106922,137.8671826,-34.5495192,10045,14,9694,64,1013
4107962,137.8677825,-34.5431952,9680,14,10964,85,807
4107101,137.8734108,-34.5484712,39710,14,13457,101,794
4106828,137.873465,-34.5500474,22928,14,13508,81,484
4106931,137.8696318,-34.5494616,32748,14,6738,148,466
4108028,137.8759383,-34.5427779,101271,13,10823,129,3585
4108081,137.8712969,-34.5424365,72023,13,19205,612,3353
4108411,137.8720435,-34.5403908,16592,13,12440,98,2846
4107847,137.8762492,-34.5438974,12162,13,16845,263,2609
4107977,137.8718643,-34.5430992,30403,13,14314,297,2440
4107759,137.8716386,-34.5444567,11987,13,13967,209,2392
4107380,137.8749893,-34.5468566,42645,13,11672,112,2357
4108221,137.8704496,-34.5415551,30782,13,14623,402,2274
4108101,137.8767391,-34.5423084,10652,13,9198,95,2189
4108062,137.8759306,-34.5425527,67344,13,13001,113,2092
4107849,137.8669894,-34.5438899,278813,13,8597,1465,2091
4107793,137.8713588,-34.544238,46304,13,12533,267,2017
4108107,137.868568,-34.5422753,48712,13,21847,311,1936
4107974,137.871048,-34.5431184,16691,13,13407,241,1915
4107896,137.869975,-34.5435943,32765,13,13722,128,1898
4107504,137.8676109,-34.5461288,16671,13,12969,170,1854
4108073,137.8691199,-34.5424878,54767,13,19906,362,1835
4106802,137.8663894,-34.5502138,17245,13,11671,155,1624
4107648,137.8694849,-34.5451833,43721,13,14293,163,1622
4107059,137.8726021,-34.5487156,45395,13,14297,140,1571
4107402,137.8703554,-34.5467403,40995,13,13269,148,1553
4107139,137.8731309,-34.5482525,118338,13,12590,278,1514
4107252,137.8720191,-34.5476026,40226,13,17877,146,1485
4107350,137.8668254,-34.5470487,8373,13,10866,173,1413
4107043,137.8682479,-34.5488181,59622,13,9980,107,1377
4108307,137.8742436,-34.5410151,34638,13,8357,167,1325
4106880,137.8663739,-34.5497635,13519,13,13475,84,1312
4108423,137.8753088,-34.5403139,47718,13,10184,93,1285
4108291,137.8698899,-34.5411176,22936,13,10958,248,1251
4107222,137.8744761,-34.5477701,52646,13,11899,111,1214
4108388,137.8761329,-34.5405198,53304,13,12066,62,1193
4106984,137.873434,-34.5491467,52316,13,9833,104,1037
4107027,137.8745148,-34.5488959,59542,13,13978,108,1037
4106842,137.8666538,-34.5499823,10196,13,9140,101,788
4107883,137.8762414,-34.5436722,89497,12,10296,290,3618
4108282,137.8674409,-34.5411751,191820,12,17856,679,3474
4108397,137.868234,-34.5404804,6919,12,25259,631,3405
4108416,137.8734041,-34.5403588,4581,12,7366,53,3375
4108008,137.870496,-34.5429061,84932,12,10532,233,2999
4107184,137.874756,-34.5479889,81157,12,17077,124,2536
4107863,137.8707991,-34.5438003,62849,12,9589,165,2433
4108300,137.8723389,-34.5410599,65053,12,24244,197,2399
4107631,137.874663,-34.5452868,8242,12,11699,127,2380
4107696,137.8732869,-34.5448686,11258,12,17842,146,2363
